file_path,language,extension,loc,method_count,size_bytes
docs\de\llm-prompt.md,Markdown,.md,324,0,10374
docs\en\mkdocs.yml,YAML,.yml,332,0,9456
docs\es\llm-prompt.md,Markdown,.md,99,0,5626
docs\fr\llm-prompt.md,Markdown,.md,132,0,3786
docs\hi\llm-prompt.md,Markdown,.md,58,0,4039
docs\hi\mkdocs.yml,YAML,.yml,1,0,27
docs\ja\llm-prompt.md,Markdown,.md,46,0,1353
docs\ko\llm-prompt.md,Markdown,.md,55,0,1751
docs\pt\llm-prompt.md,Markdown,.md,87,0,4033
docs\ru\llm-prompt.md,Markdown,.md,101,0,6730
docs\tr\llm-prompt.md,Markdown,.md,68,0,2823
docs\uk\llm-prompt.md,Markdown,.md,113,0,4248
docs\zh\llm-prompt.md,Markdown,.md,46,0,1447
docs\zh-hant\llm-prompt.md,Markdown,.md,60,0,2265
docs\de\docs\alternatives.md,Markdown,.md,485,0,27148
docs\de\docs\async.md,Markdown,.md,444,0,28393
docs\de\docs\benchmarks.md,Markdown,.md,34,0,4093
docs\de\docs\editor-support.md,Markdown,.md,23,0,2793
docs\de\docs\environment-variables.md,Markdown,.md,11,0,852
docs\de\docs\fastapi-cli.md,Markdown,.md,138,0,7295
docs\de\docs\features.md,Markdown,.md,201,0,10809
docs\de\docs\help-fastapi.md,Markdown,.md,80,0,3978
docs\de\docs\history-design-future.md,Markdown,.md,79,0,4860
docs\de\docs\index.md,Markdown,.md,581,0,28051
docs\de\docs\project-generation.md,Markdown,.md,28,0,2250
docs\de\docs\python-types.md,Markdown,.md,348,0,13266
docs\de\docs\translation-banner.md,Markdown,.md,11,0,469
docs\de\docs\virtual-environments.md,Markdown,.md,35,0,1318
docs\de\docs\_llm-test.md,Markdown,.md,495,0,12962
docs\de\docs\about\index.md,Markdown,.md,3,0,84
docs\de\docs\advanced\additional-responses.md,Markdown,.md,247,0,10372
docs\de\docs\advanced\additional-status-codes.md,Markdown,.md,42,0,2452
docs\de\docs\advanced\advanced-dependencies.md,Markdown,.md,164,0,10710
docs\de\docs\advanced\advanced-python-types.md,Markdown,.md,61,0,2405
docs\de\docs\advanced\async-tests.md,Markdown,.md,99,0,4550
docs\de\docs\advanced\behind-a-proxy.md,Markdown,.md,466,0,18936
docs\de\docs\advanced\custom-response.md,Markdown,.md,273,0,13099
docs\de\docs\advanced\dataclasses.md,Markdown,.md,95,0,5035
docs\de\docs\advanced\events.md,Markdown,.md,165,0,9824
docs\de\docs\advanced\generate-clients.md,Markdown,.md,192,0,10344
docs\de\docs\advanced\index.md,Markdown,.md,21,0,916
docs\de\docs\advanced\json-base64-bytes.md,Markdown,.md,63,0,2866
docs\de\docs\advanced\middleware.md,Markdown,.md,97,0,5091
docs\de\docs\advanced\openapi-callbacks.md,Markdown,.md,186,0,9356
docs\de\docs\advanced\openapi-webhooks.md,Markdown,.md,55,0,3648
docs\de\docs\advanced\path-operation-advanced-configuration.md,Markdown,.md,166,0,8407
docs\de\docs\advanced\response-change-status-code.md,Markdown,.md,32,0,2055
docs\de\docs\advanced\response-cookies.md,Markdown,.md,51,0,2718
docs\de\docs\advanced\response-directly.md,Markdown,.md,83,0,4947
docs\de\docs\advanced\response-headers.md,Markdown,.md,41,0,2725
docs\de\docs\advanced\settings.md,Markdown,.md,326,0,13850
docs\de\docs\advanced\stream-data.md,Markdown,.md,117,0,6245
docs\de\docs\advanced\strict-content-type.md,Markdown,.md,88,0,3800
docs\de\docs\advanced\sub-applications.md,Markdown,.md,67,0,3367
docs\de\docs\advanced\templates.md,Markdown,.md,126,0,4303
docs\de\docs\advanced\testing-dependencies.md,Markdown,.md,54,0,3351
docs\de\docs\advanced\testing-events.md,Markdown,.md,12,0,757
docs\de\docs\advanced\testing-websockets.md,Markdown,.md,13,0,480
docs\de\docs\advanced\using-request-directly.md,Markdown,.md,56,0,2682
docs\de\docs\advanced\websockets.md,Markdown,.md,186,0,6318
docs\de\docs\advanced\wsgi.md,Markdown,.md,52,0,1840
docs\de\docs\deployment\cloud.md,Markdown,.md,24,0,1314
docs\de\docs\deployment\concepts.md,Markdown,.md,321,0,22209
docs\de\docs\deployment\docker.md,Markdown,.md,614,0,33728
docs\de\docs\deployment\fastapicloud.md,Markdown,.md,47,0,1909
docs\de\docs\deployment\https.md,Markdown,.md,231,0,16420
docs\de\docs\deployment\index.md,Markdown,.md,23,0,1819
docs\de\docs\deployment\manually.md,Markdown,.md,156,0,7388
docs\de\docs\deployment\server-workers.md,Markdown,.md,139,0,9057
docs\de\docs\deployment\versions.md,Markdown,.md,93,0,4178
docs\de\docs\how-to\authentication-error-status-code.md,Markdown,.md,17,0,1318
docs\de\docs\how-to\conditional-openapi.md,Markdown,.md,56,0,3077
docs\de\docs\how-to\configure-swagger-ui.md,Markdown,.md,70,0,3606
docs\de\docs\how-to\custom-docs-ui-assets.md,Markdown,.md,185,0,9597
docs\de\docs\how-to\custom-request-and-route.md,Markdown,.md,109,0,5831
docs\de\docs\how-to\extending-openapi.md,Markdown,.md,88,0,4577
docs\de\docs\how-to\general.md,Markdown,.md,43,0,3609
docs\de\docs\how-to\graphql.md,Markdown,.md,61,0,3237
docs\de\docs\how-to\index.md,Markdown,.md,13,0,637
docs\de\docs\how-to\migrate-from-pydantic-v1-to-pydantic-v2.md,Markdown,.md,153,0,7411
docs\de\docs\how-to\separate-openapi-schemas.md,Markdown,.md,103,0,5381
docs\de\docs\how-to\testing-database.md,Markdown,.md,7,0,458
docs\de\docs\learn\index.md,Markdown,.md,5,0,237
docs\de\docs\resources\index.md,Markdown,.md,3,0,88
docs\de\docs\tutorial\background-tasks.md,Markdown,.md,86,0,5882
docs\de\docs\tutorial\bigger-applications.md,Markdown,.md,547,0,23865
docs\de\docs\tutorial\body-fields.md,Markdown,.md,59,0,2832
docs\de\docs\tutorial\body-multiple-params.md,Markdown,.md,165,0,5729
docs\de\docs\tutorial\body-nested-models.md,Markdown,.md,221,0,8036
docs\de\docs\tutorial\body-updates.md,Markdown,.md,100,0,5192
docs\de\docs\tutorial\body.md,Markdown,.md,166,0,7846
docs\de\docs\tutorial\cookie-param-models.md,Markdown,.md,76,0,3936
docs\de\docs\tutorial\cookie-params.md,Markdown,.md,45,0,1877
docs\de\docs\tutorial\cors.md,Markdown,.md,88,0,6274
docs\de\docs\tutorial\debugging.md,Markdown,.md,113,0,2880
docs\de\docs\tutorial\encoder.md,Markdown,.md,35,0,1828
docs\de\docs\tutorial\extra-data-types.md,Markdown,.md,62,0,3245
docs\de\docs\tutorial\extra-models.md,Markdown,.md,211,0,8193
docs\de\docs\tutorial\first-steps.md,Markdown,.md,427,0,16158
docs\de\docs\tutorial\frontend.md,Markdown,.md,145,0,7425
docs\de\docs\tutorial\handling-errors.md,Markdown,.md,244,0,10736
docs\de\docs\tutorial\header-param-models.md,Markdown,.md,72,0,3276
docs\de\docs\tutorial\header-params.md,Markdown,.md,91,0,3654
docs\de\docs\tutorial\index.md,Markdown,.md,141,0,8375
docs\de\docs\tutorial\metadata.md,Markdown,.md,120,0,7092
docs\de\docs\tutorial\middleware.md,Markdown,.md,95,0,4855
docs\de\docs\tutorial\path-operation-configuration.md,Markdown,.md,107,0,4873
docs\de\docs\tutorial\path-params-numeric-validations.md,Markdown,.md,154,0,7394
docs\de\docs\tutorial\path-params.md,Markdown,.md,251,0,10777
docs\de\docs\tutorial\query-param-models.md,Markdown,.md,68,0,2764
docs\de\docs\tutorial\query-params-str-validations.md,Markdown,.md,449,0,19608
docs\de\docs\tutorial\query-params.md,Markdown,.md,188,0,5320
docs\de\docs\tutorial\request-files.md,Markdown,.md,176,0,8653
docs\de\docs\tutorial\request-form-models.md,Markdown,.md,78,0,2675
docs\de\docs\tutorial\request-forms-and-files.md,Markdown,.md,41,0,1662
docs\de\docs\tutorial\request-forms.md,Markdown,.md,74,0,3098
docs\de\docs\tutorial\response-model.md,Markdown,.md,344,0,18297
docs\de\docs\tutorial\response-status-code.md,Markdown,.md,102,0,4947
docs\de\docs\tutorial\schema-extra-example.md,Markdown,.md,202,0,10833
docs\de\docs\tutorial\server-sent-events.md,Markdown,.md,120,0,5362
docs\de\docs\tutorial\sql-databases.md,Markdown,.md,357,0,18386
docs\de\docs\tutorial\static-files.md,Markdown,.md,48,0,2332
docs\de\docs\tutorial\stream-json-lines.md,Markdown,.md,111,0,5142
docs\de\docs\tutorial\testing.md,Markdown,.md,194,0,6801
docs\de\docs\advanced\security\http-basic-auth.md,Markdown,.md,107,0,6377
docs\de\docs\advanced\security\index.md,Markdown,.md,19,0,816
docs\de\docs\advanced\security\oauth2-scopes.md,Markdown,.md,274,0,16296
docs\de\docs\tutorial\dependencies\classes-as-dependencies.md,Markdown,.md,288,0,8069
docs\de\docs\tutorial\dependencies\dependencies-in-path-operation-decorators.md,Markdown,.md,69,0,3625
docs\de\docs\tutorial\dependencies\dependencies-with-yield.md,Markdown,.md,290,0,14986
docs\de\docs\tutorial\dependencies\global-dependencies.md,Markdown,.md,16,0,1167
docs\de\docs\tutorial\dependencies\index.md,Markdown,.md,249,0,11791
docs\de\docs\tutorial\dependencies\sub-dependencies.md,Markdown,.md,105,0,4680
docs\de\docs\tutorial\security\first-steps.md,Markdown,.md,203,0,10049
docs\de\docs\tutorial\security\get-current-user.md,Markdown,.md,105,0,5004
