token_a,token_b,similarity_before,similarity_after,change
),pytest,-0.09817514130539562,0.16533815853305542,0.26351329983845106
),"""""""",0.11394125615848229,0.3048914108086863,0.19095015465020404
),==,0.024832798027709598,0.31650491438475753,0.29167211635704793
),y,-0.00592143636343071,0.22604595364056038,0.23196739000399108
),3,-0.0374385818783831,0.23658600762252044,0.2740245895009035
),(#,-0.12870614887988377,0.3506937591565894,0.47939990803647314
),with,-0.08245682987586564,0.20257158412211324,0.28502841399797885
),(),-0.06913529253050307,0.10818714939038372,0.1773224419208868
-,"""",0.01886854624861135,0.11150308510931994,0.09263453886070859
-,:,-0.1408416759879616,0.1857108413289197,0.3265525173168813
-,the,-0.22368226242655243,-0.007871817924558478,0.21581044450199394
-,#,-0.062059214227871716,0.11672950515285363,0.17878871938072535
-,/,0.049040896162359605,0.3450794530863559,0.2960385569239963
-,0,-0.030379134618530815,0.10365054929086925,0.13402968390940007
-,1,-0.025484057198889676,0.12355610511892676,0.14904016231781644
-,[,0.08102322164019858,0.255570593960712,0.17454737232051343
-,""",",0.07517805839575827,0.18779989987366022,0.11262184147790195
-,""":",-0.14636231845420888,0.0027867610101868483,0.14914907946439573
-,in,0.17237106986686826,0.2874799239552163,0.11510885408834806
-,to,0.020927728993719787,0.17463798389479882,0.15371025490107904
-,of,0.14027819590942894,0.2879217011818272,0.14764350527239825
-,for,-0.08541718540018645,0.0870729828306541,0.17249016823084054
-,`,0.14037407915379044,0.24568133601012357,0.10530725685633313
-,_,0.03571930121920677,0.15057198167009253,0.11485268045088576
-,X,-0.1731080253875693,-0.06096557310045622,0.11214245228711309
-,self,0.027022314760201557,0.16121900877818787,0.1341966940179863
-,a,0.019957518275017357,0.18580791366290259,0.16585039538788524
-,from,-0.21414661163532428,0.003653360625069797,0.21779997226039408
